Timestamp,Age,Gender,Employment Status  ,Income Level (per Month) ,How often do you shop for products?,Which platform do you prefer for promotions? ,How often do you purchase products on discount? ,"How often do you wait for a sale before purchasing expensive items(e.g, electronics , fashion items)?","Do you usually plan your purchases around promotional events (e.g., holiday sales, clearance sales)?  ",Do promotions/offers encourage you to buy more than you originally intended?,Have you ever bought a product impulsively due to a discount or promotion?  ,"On average, how much more likely are you to purchase🛒 a product when it’s on sale?  ",Which type of promotions most influences your decision to buy a product?  ,How often do you use coupons or discount codes when shopping online,Do you prefer percentage discounts or fixed amount discounts?  ,How important are discounts when comparing two similar products?   ,Have you ever switched brands because of a discount or promotion?,Which promotional event influences your purchasing the most?,Would you continue purchasing from a brand if they stopped offering discounts?, Do you think discounts lower the perceived quality of a product?,How important are discounts in maintaining your loyalty to a brand? ,Does a brand offering regular promotions increase your trust in that brand?,How much does a discount influence your decision to buy from a specific brand?,"After purchasing a discounted product, how likely are you to return to the brand for full-price purchases?",How much does your perception of a brand change when it frequently offers heavy discounts?,Column 27
02/10/2024 21:02:33,16-25,Female,Employed,"Below 30,000",Monthly,In-store,Often,Always,Yes,Yes,Yes,3,Buy-one-get-one free,Always,Fixed amount discount,Very important,Yes,Diwali Sales,Yes,No,Very important,Yes,Strongly influences,Very likely,Neutral,
02/10/2024 21:05:37,16-25,Male,Student,"Below 30,000",Weekly,Both equally,Often,Sometimes,Yes,Yes,Yes,2,Buy-one-get-one free,Always,Percentage discount,Somewhat important,Yes,Diwali Sales,Yes,Yes,Somewhat important,Yes,Strongly influences,Very likely,Positive,
02/10/2024 22:00:35,16-25,Male,Employed,"30,000-59,000",Weekly,Both equally,Always,Always,Yes,Yes,Yes,2,Buy-one-get-one free,Always,Fixed amount discount,Very important,Yes,End-of-Season Sales,Maybe,Sometimes,Very important,Yes,Strongly influences,Somewhat likely,Positive,
03/10/2024 01:07:08,16-25,Female,Employed,"Below 30,000",Monthly,Online,Sometimes,Rarely,No,Sometimes,No,4,Percentage discount,Often,Percentage discount,Not important,No,Flash Sales,Maybe,Sometimes,Very important,Yes,Strongly influences,Neutral,Positive,
03/10/2024 18:00:43,16-25,Female,Employed,"30,000-59,000",Weekly,Both equally,Always,Rarely,Sometimes,Sometimes,Yes,2,Buy-one-get-one free,Always,Fixed amount discount,Neutral,No,Diwali Sales,No,Sometimes,Very important,Yes,Somewhat influences,Neutral,Neutral,
03/10/2024 23:06:32,16-25,Male,Unemployed,"Below 30,000",Daily,Both equally,Never,Never,No,Sometimes,No,5,Free shipping,Never,Fixed amount discount,Neutral,No,Online Exclusive Discounts,No,No,Very important,Neutral,Neutral,Somewhat likely,Positive,
04/10/2024 23:12:56,16-25,Male,Student,"Above 1,20,000",Weekly,Online,Always,Always,No,Yes,No,5,Buy-one-get-one free,Always,Percentage discount,Very important,Yes,Online Exclusive Discounts,Yes,Sometimes,Very important,Yes,Somewhat influences,Very likely,Positive,
05/10/2024 10:44:07,16-25,Male,Student,"Below 30,000",Rarely,Both equally,Often,Rarely,Sometimes,Yes,No,3,Free shipping,Rarely,Percentage discount,Somewhat important,No,Online Exclusive Discounts,Maybe,No,Not important,No,Somewhat influences,Unlikely,Negative,
05/10/2024 10:52:13,26-35,Male,Self-employed,"30,000-59,000",Weekly,Online,Often,Sometimes,No,Sometimes,No,2,Cashback offers,Always,Fixed amount discount,Very important,No,Diwali Sales,Yes,Sometimes,Not important,No,Strongly influences,Somewhat likely,Positive,
06/10/2024 17:15:26,26-35,Male,Employed,"Below 30,000",Monthly,Both equally,Sometimes,Always,Sometimes,Sometimes,Yes,5,Buy-one-get-one free,Always,Percentage discount,Neutral,No,End-of-Season Sales,Maybe,Sometimes,Neutral,Neutral,Somewhat influences,Somewhat likely,Neutral,
